usage_id,customer_id,usage_date,login_count,session_minutes,files_uploaded,files_downloaded,storage_used_gb,feature_usage_count
U00001,C00001,2026-08-01,18,420,12,28,31.5,15
U00002,C00002,2026-08-01,25,610,18,35,82.4,22
U00003,C00003,2026-08-01,7,145,4,9,21.7,6
U00004,C00004,2026-08-01,31,780,26,48,210.5,29
U00005,C00005,2026-08-01,4,72,2,5,14.2,3
U00006,C00006,2026-08-01,22,510,15,31,96.8,19
U00007,C00007,2026-08-01,28,690,21,42,245.6,27
U00008,C00008,2026-08-01,35,850,32,61,470.3,34
U00009,C00009,2026-08-01,6,110,3,7,18.6,5
U00010,C00010,2026-08-01,19,380,11,24,65.3,16
U00011,C00011,2026-08-02,23,525,16,32,91.2,20
U00012,C00012,2026-08-02,29,710,24,44,175.6,26
U00013,C00013,2026-08-02,8,160,5,11,26.4,7
U00014,C00014,2026-08-02,33,820,29,56,318.7,31
U00015,C00015,2026-08-02,5,88,2,6,17.9,4
U00016,C00016,2026-08-02,21,470,13,27,78.5,18
U00017,C00017,2026-08-02,27,655,20,39,198.3,25
U00018,C00018,2026-08-02,36,910,34,67,512.7,37
U00019,C00019,2026-08-02,9,175,6,13,33.1,8
U00020,C00020,2026-08-02,17,350,10,21,57.8,14
U00021,C00021,2026-08-03,20,430,13,26,71.4,17
U00022,C00022,2026-08-03,26,620,19,38,124.8,23
U00023,C00023,2026-08-03,10,205,7,15,42.5,9
U00024,C00024,2026-08-03,32,795,27,52,287.6,30
U00025,C00025,2026-08-03,4,65,1,4,11.8,3
U00026,C00026,2026-08-03,24,540,17,33,105.7,21
U00027,C00027,2026-08-03,30,735,23,47,231.4,28
U00028,C00028,2026-08-03,38,940,36,70,598.2,39
U00029,C00029,2026-08-03,7,125,3,8,19.4,5
U00030,C00030,2026-08-03,18,365,12,23,62.7,15
U00031,C00031,2026-08-04,22,495,15,29,88.6,19
U00032,C00032,2026-08-04,28,675,22,41,156.3,25
U00033,C00033,2026-08-04,6,118,3,7,17.2,5
U00034,C00034,2026-08-04,34,835,30,58,334.5,32
U00035,C00035,2026-08-04,3,58,1,3,9.6,2
U00036,C00036,2026-08-04,23,515,16,31,92.5,20
U00037,C00037,2026-08-04,29,700,21,45,218.9,27
U00038,C00038,2026-08-04,37,895,33,64,486.7,36
U00039,C00039,2026-08-04,8,155,5,10,28.7,7
U00040,C00040,2026-08-04,16,325,9,19,51.4,13
U00041,C00041,2026-08-05,19,405,12,25,69.8,16
U00042,C00042,2026-08-05,27,645,20,37,139.5,24
U00043,C00043,2026-08-05,11,225,7,16,45.3,10
U00044,C00044,2026-08-05,31,765,25,49,274.2,29
U00045,C00045,2026-08-05,5,92,2,6,16.5,4
U00046,C00046,2026-08-05,25,575,18,34,112.8,22
U00047,C00047,2026-08-05,28,680,22,43,207.6,26
U00048,C00048,2026-08-05,39,960,37,72,621.4,40
U00049,C00049,2026-08-05,6,105,2,6,15.7,4
U00050,C00050,2026-08-05,18,390,11,22,59.2,15
U00051,C00051,2026-08-06,21,450,14,28,76.5,18
U00052,C00052,2026-08-06,29,705,23,44,168.7,27
U00053,C00053,2026-08-06,8,150,4,10,24.6,6
U00054,C00054,2026-08-06,35,845,31,59,348.2,33
U00055,C00055,2026-08-06,4,70,1,4,12.3,3
U00056,C00056,2026-08-06,22,505,15,30,86.4,19
U00057,C00057,2026-08-06,30,720,24,46,224.7,28
U00058,C00058,2026-08-06,40,975,39,75,645.8,41
U00059,C00059,2026-08-06,7,135,3,8,20.8,5
U00060,C00060,2026-08-06,17,340,10,20,55.6,14
U00061,C00061,2026-08-07,20,425,13,27,73.2,17
U00062,C00062,2026-08-07,26,615,19,36,127.5,23
U00063,C00063,2026-08-07,9,185,5,14,38.7,8
U00064,C00064,2026-08-07,33,810,28,53,301.6,31
U00065,C00065,2026-08-07,5,82,2,5,14.8,4
U00066,C00066,2026-08-07,24,555,17,32,101.5,21
U00067,C00067,2026-08-07,31,745,25,48,238.9,29
U00068,C00068,2026-08-07,41,990,40,78,681.5,43
U00069,C00069,2026-08-07,6,115,2,7,17.9,5
U00070,C00070,2026-08-07,19,375,12,23,63.8,15
U00071,C00071,2026-08-08,22,480,15,30,84.7,19
U00072,C00072,2026-08-08,28,670,22,42,151.8,26
U00073,C00073,2026-08-08,8,155,4,9,25.8,6
U00074,C00074,2026-08-08,34,825,29,57,325.7,32
U00075,C00075,2026-08-08,3,62,1,4,10.7,2
U00076,C00076,2026-08-08,23,520,16,31,94.3,20
U00077,C00077,2026-08-08,29,690,23,45,216.5,27
U00078,C00078,2026-08-08,38,930,35,69,574.8,39
U00079,C00079,2026-08-08,7,130,3,8,21.4,5
U00080,C00080,2026-08-08,18,355,11,22,61.5,15
U00081,C00081,2026-08-09,20,415,13,25,70.6,17
U00082,C00082,2026-08-09,27,635,20,39,133.2,24
U00083,C00083,2026-08-09,10,198,6,14,40.8,9
U00084,C00084,2026-08-09,32,785,27,51,291.5,30
U00085,C00085,2026-08-09,4,76,2,5,13.5,3
U00086,C00086,2026-08-09,25,565,18,35,109.7,22
U00087,C00087,2026-08-09,30,715,24,47,229.8,28
U00088,C00088,2026-08-09,39,950,37,73,633.5,40
U00089,C00089,2026-08-09,6,120,3,7,18.2,5
U00090,C00090,2026-08-09,17,330,9,20,53.7,13
U00091,C00091,2026-08-10,21,445,14,28,79.1,18
U00092,C00092,2026-08-10,28,655,21,40,146.4,25
U00093,C00093,2026-08-10,9,170,5,12,35.6,8
U00094,C00094,2026-08-10,35,860,31,60,357.3,34
U00095,C00095,2026-08-10,5,90,2,6,16.2,4
U00096,C00096,2026-08-10,24,535,16,32,98.8,20
U00097,C00097,2026-08-10,31,730,25,49,242.1,29
U00098,C00098,2026-08-10,42,1010,41,80,704.6,44
U00099,C00099,2026-08-10,7,140,3,8,22.7,5
U00100,C00100,2026-08-10,19,385,12,24,66.9,16
U00101,C00101,2026-08-11,22,460,15,29,81.8,19
U00102,C00102,2026-08-11,26,600,19,37,121.6,23
U00103,C00103,2026-08-11,8,148,4,10,23.9,6
U00104,C00104,2026-08-11,33,800,28,54,309.4,31
U00105,C00105,2026-08-11,4,68,1,4,11.4,3
U00106,C00106,2026-08-11,23,495,15,30,89.7,19
U00107,C00107,2026-08-11,29,705,23,44,219.5,27
U00108,C00108,2026-08-11,40,965,38,74,638.1,41
U00109,C00109,2026-08-11,6,108,2,7,16.8,5
U00110,C00110,2026-08-11,18,345,10,21,58.7,14
U00111,C00111,2026-08-12,20,430,13,26,74.5,17
U00112,C00112,2026-08-12,28,680,22,43,159.7,26
U00113,C00113,2026-08-12,9,180,6,13,39.4,8
U00114,C00114,2026-08-12,34,835,30,58,331.2,32
U00115,C00115,2026-08-12,5,85,2,5,15.6,4
U00116,C00116,2026-08-12,25,575,18,34,107.3,22
U00117,C00117,2026-08-12,30,725,24,46,225.8,28
U00118,C00118,2026-08-12,41,985,40,77,667.9,42
U00119,C00119,2026-08-12,7,128,3,8,20.1,5
U00120,C00120,2026-08-12,17,335,10,20,54.9,14
U00121,C00121,2026-08-13,21,440,14,27,77.2,18
U00122,C00122,2026-08-13,27,645,20,39,137.6,24
U00123,C00123,2026-08-13,10,210,7,15,43.8,9
U00124,C00124,2026-08-13,32,770,26,50,279.3,30
U00125,C00125,2026-08-13,4,72,1,4,12.6,3
U00126,C00126,2026-08-13,24,550,17,33,103.2,21
U00127,C00127,2026-08-13,31,750,25,48,247.4,29
U00128,C00128,2026-08-13,39,945,37,72,614.5,40
U00129,C00129,2026-08-13,6,118,2,7,18.7,5
U00130,C00130,2026-08-13,19,370,11,22,62.4,15
U00131,C00131,2026-08-14,23,500,16,31,91.3,20
U00132,C00132,2026-08-14,29,695,23,45,164.8,27
U00133,C00133,2026-08-14,8,155,4,9,26.1,6
U00134,C00134,2026-08-14,35,850,31,59,346.7,33
U00135,C00135,2026-08-14,3,60,1,3,10.1,2
U00136,C00136,S00136,2026-08-14,23,515,16,30,93.5,20
U00137,C00137,S00137,2026-08-14,30,720,24,46,231.7,28
U00138,C00138,S00138,2026-08-14,42,1020,41,79,715.4,44
U00139,C00139,S00139,2026-08-14,7,135,3,8,21.5,5
U00140,C00140,S00140,2026-08-14,18,355,10,21,57.2,14
U00141,C00141,S00141,2026-08-15,20,425,13,25,72.8,17
U00142,C00142,S00142,2026-08-15,27,630,20,38,129.5,24
U00143,C00143,S00143,2026-08-15,9,185,5,13,37.2,8
U00144,C00144,S00144,2026-08-15,33,815,28,53,303.7,31
U00145,C00145,S00145,2026-08-15,5,80,2,5,14.1,4
U00146,C00146,S00146,2026-08-15,25,570,18,34,111.8,22
U00147,C00147,S00147,2026-08-15,31,740,25,47,239.5,29
U00148,C00148,S00148,2026-08-15,40,975,38,75,654.3,41
U00149,C00149,S00149,2026-08-15,6,125,3,7,19.3,5
U00150,C00150,S00150,2026-08-15,18,360,11,22,60.8,15
U00151,C00151,S00151,2026-08-16,22,470,15,29,83.5,19
U00152,C00152,S00152,2026-08-16,28,670,22,42,154.6,26
U00153,C00153,S00153,2026-08-16,8,160,4,10,27.3,6
U00154,C00154,S00154,2026-08-16,34,830,30,57,328.9,32
U00155,C00155,S00155,2026-08-16,4,74,1,4,12.1,3
U00156,C00156,S00156,2026-08-16,24,535,17,32,97.6,21
U00157,C00157,S00157,2026-08-16,30,710,24,45,223.8,28
U00158,C00158,S00158,2026-08-16,41,995,40,78,679.2,43
U00159,C00159,S00159,2026-08-16,7,130,3,8,20.6,5
U00160,C00160,S00160,2026-08-16,17,345,10,20,56.3,14
U00161,C00161,S00161,2026-08-17,21,455,14,27,75.9,18
U00162,C00162,S00162,2026-08-17,26,610,19,37,126.7,23
U00163,C00163,S00163,2026-08-17,10,200,6,14,41.5,9
U00164,C00164,S00164,2026-08-17,32,780,27,51,289.6,30
U00165,C00165,S00165,2026-08-17,5,88,2,6,16.8,4
U00166,C00166,S00166,2026-08-17,23,520,16,31,95.2,20
U00167,C00167,S00167,2026-08-17,29,695,23,44,217.4,27
U00168,C00168,S00168,2026-08-17,39,955,37,73,642.6,40
U00169,C00169,S00169,2026-08-17,6,115,2,7,18.1,5
U00170,C00170,S00170,2026-08-17,19,380,12,23,64.7,15
U00171,C00171,S00171,2026-08-18,20,435,13,26,73.6,17
U00172,C00172,S00172,2026-08-18,28,665,22,41,157.2,26
U00173,C00173,S00173,2026-08-18,9,175,5,12,36.8,8
U00174,C00174,S00174,2026-08-18,34,840,29,58,337.5,32
U00175,C00175,S00175,2026-08-18,4,70,1,4,11.5,3
U00176,C00176,S00176,2026-08-18,25,560,18,33,108.4,22
U00177,C00177,S00177,2026-08-18,31,730,25,47,235.6,29
U00178,C00178,S00178,2026-08-18,42,1015,41,80,708.3,44
U00179,C00179,S00179,2026-08-18,7,140,3,8,22.4,5
U00180,C00180,S00180,2026-08-18,18,350,10,21,58.1,14
U00181,C00181,S00181,2026-08-19,22,485,15,30,87.6,19
