subscription_id,customer_id,plan_id,start_date,end_date,subscription_status,auto_renew,discount_pct
S00001,C00001,P002,2023-02-15,,Active,Yes,0
S00002,C00002,P001,2023-03-22,2023-10-18,Churned,No,5
S00003,C00003,P003,2023-04-10,,Active,Yes,10
S00004,C00004,P005,2023-05-18,,Active,Yes,0
S00005,C00005,P002,2023-06-25,2024-02-11,Churned,Yes,5
S00006,C00006,P006,2023-07-14,,Active,Yes,10
S00007,C00007,P001,2023-08-21,2024-01-19,Churned,No,0
S00008,C00008,P007,2023-09-12,,Active,Yes,5
S00009,C00009,P003,2023-10-05,,Active,Yes,0
S00010,C00010,P004,2023-11-17,,Active,Yes,10
S00011,C00011,P001,2023-12-08,2024-06-14,Churned,No,5
S00012,C00012,P006,2024-01-11,,Active,Yes,0
S00013,C00013,P002,2024-02-19,,Active,Yes,5
S00014,C00014,P005,2024-03-07,2024-11-22,Churned,No,10
S00015,C00015,P003,2024-04-16,,Active,Yes,0
S00016,C00016,P007,2024-05-09,,Active,Yes,5
S00017,C00017,P001,2024-06-23,2025-01-17,Churned,No,0
S00018,C00018,P006,2024-07-12,,Active,Yes,10
S00019,C00019,P002,2024-08-04,,Active,Yes,0
S00020,C00020,P008,2024-09-18,,Active,Yes,5
S00021,C00021,P005,2024-10-11,2025-03-15,Churned,Yes,10
S00022,C00022,P003,2024-11-06,,Active,Yes,5
S00023,C00023,P001,2024-12-20,,Active,No,0
S00024,C00024,P006,2025-01-08,,Active,Yes,5
S00025,C00025,P002,2025-02-14,2025-08-19,Churned,No,0
S00026,C00026,P007,2025-03-11,,Active,Yes,10
S00027,C00027,P003,2025-04-05,,Active,Yes,5
S00028,C00028,P005,2025-04-22,,Active,Yes,0
S00029,C00029,P001,2023-02-28,,Active,Yes,5
S00030,C00030,P006,2023-03-16,2024-01-08,Churned,No,10
S00031,C00031,P002,2023-04-21,,Active,Yes,0
S00032,C00032,P003,2023-05-13,,Active,Yes,5
S00033,C00033,P001,2023-06-08,2023-12-17,Churned,No,0
S00034,C00034,P007,2023-07-26,,Active,Yes,10
S00035,C00035,P005,2023-08-15,,Active,Yes,5
