ticket_id,customer_id,ticket_date,issue_category,priority,resolution_hours,ticket_status,customer_satisfaction
T00001,C00001,2025-02-14,Technical,High,18.5,Resolved,3
T00002,C00002,2025-03-21,Billing,Medium,9.2,Closed,4
T00003,C00003,2025-01-18,Performance,High,22.7,Resolved,3
T00004,C00004,2025-04-07,Account,Low,4.1,Closed,5
T00005,C00005,2025-02-28,Storage,Medium,11.6,Resolved,4
T00006,C00006,2025-05-12,Technical,Urgent,31.4,Escalated,2
T00007,C00007,2025-03-05,Billing,High,16.8,Resolved,3
T00008,C00008,2025-06-19,Feature Request,Low,6.3,Closed,5
T00009,C00009,2025-01-29,Performance,Medium,13.5,Resolved,4
T00010,C00010,2025-07-02,Account,Low,3.7,Closed,5
T00011,C00011,2025-02-11,Technical,Medium,12.4,Resolved,4
T00012,C00012,2025-03-16,Billing,High,19.1,Resolved,3
T00013,C00013,Storage,Medium,10.8,Resolved,4
T00014,C00014,2025-04-25,Security,High,17.6,Resolved,3
T00015,C00015,2025-05-30,Performance,Urgent,28.9,Escalated,2
T00016,C00016,2025-02-19,Account,Low,4.8,Closed,5
T00017,C00017,2025-06-08,Technical,High,21.3,Resolved,3
T00018,C00018,2025-03-27,Feature Request,Low,7.1,Closed,5
T00019,C00019,2025-01-13,Billing,Medium,11.2,Resolved,4
T00020,C00020,2025-07-18,Performance,High,20.5,Resolved,3
T00021,C00021,Technical,Medium,14.3,Resolved,4
T00022,C00022,Storage,Low,5.6,Closed,5
T00023,C00023,Account,High,18.2,Resolved,3
T00024,C00024,Security,Urgent,34.7,Escalated,2
T00025,C00025,Billing,Medium,10.4,Resolved,4
T00026,C00026,Performance,High,23.1,Resolved,3
T00027,C00027,Technical,Low,6.8,Closed,5
T00028,C00028,Feature Request,Medium,8.9,Closed,4
T00029,C00029,Storage,High,16.4,Resolved,3
T00030,C00030,Account,Low,3.9,Closed,5
T00031,C00031,Billing,High,17.2,Resolved,3
T00032,C00032,Technical,Urgent,30.6,Escalated,2
T00033,C00033,Performance,Medium,12.7,Resolved,4
T00034,C00034,Security,High,19.8,Resolved,3
T00035,C00035,Storage,Low,5.1,Closed,5
T00036,C00036,Account,Medium,9.6,Resolved,4
T00037,C00037,Technical,High,21.7,Resolved,3
T00038,C00038,Billing,Low,4.4,Closed,5
T00039,C00039,Performance,Medium,15.2,Resolved,4
T00040,C00040,Feature Request,Low,6.2,Closed,5
  T00041,C00041,2025-02-08,Technical,High,19.7,Resolved,3
T00042,C00042,2025-03-14,Billing,Medium,8.6,Closed,4
T00043,C00043,2025-04-22,Performance,High,24.1,Resolved,3
T00044,C00044,2025-05-06,Account,Low,3.8,Closed,5
T00045,C00045,2025-06-17,Storage,Medium,12.9,Resolved,4
T00046,C00046,2025-01-25,Technical,Urgent,32.5,Escalated,2
T00047,C00047,2025-07-11,Billing,High,17.3,Resolved,3
T00048,C00048,2025-02-27,Feature Request,Low,5.9,Closed,5
T00049,C00049,2025-03-31,Performance,Medium,14.6,Resolved,4
T00050,C00050,2025-04-18,Account,Low,4.2,Closed,5
T00051,C00051,2025-05-23,Technical,Medium,11.7,Resolved,4
T00052,C00052,2025-06-29,Billing,High,20.4,Resolved,3
T00053,C00053,2025-07-07,Storage,Medium,13.1,Resolved,4
T00054,C00054,2025-01-16,Security,High,18.9,Resolved,3
T00055,C00055,2025-02-24,Performance,Urgent,29.8,Escalated,2
T00056,C00056,2025-03-09,Account,Low,4.7,Closed,5
T00057,C00057,2025-04-13,Technical,High,22.5,Resolved,3
T00058,C00058,2025-05-19,Feature Request,Low,6.7,Closed,5
T00059,C00059,2025-06-03,Billing,Medium,10.9,Resolved,4
T00060,C00060,2025-07-21,Performance,High,21.6,Resolved,3
T00061,C00061,2025-01-30,Technical,Medium,13.8,Resolved,4
T00062,C00062,2025-02-15,Storage,Low,5.4,Closed,5
T00063,C00063,2025-03-24,Account,High,17.9,Resolved,3
T00064,C00064,2025-04-29,Security,Urgent,35.2,Escalated,2
T00065,C00065,2025-05-14,Billing,Medium,9.8,Resolved,4
T00066,C00066,2025-06-22,Performance,High,22.8,Resolved,3
T00067,C00067,2025-07-16,Technical,Low,6.5,Closed,5
T00068,C00068,2025-01-21,Feature Request,Medium,9.3,Closed,4
T00069,C00069,2025-02-06,Storage,High,15.8,Resolved,3
T00070,C00070,2025-03-18,Account,Low,4.0,Closed,5
T00071,C00071,2025-04-05,Billing,High,18.1,Resolved,3
T00072,C00072,2025-05-28,Technical,Urgent,31.8,Escalated,2
T00073,C00073,2025-06-11,Performance,Medium,12.1,Resolved,4
T00074,C00074,2025-07-04,Security,High,20.2,Resolved,3
T00075,C00075,2025-01-12,Storage,Low,5.3,Closed,5
T00076,C00076,2025-02-20,Account,Medium,8.7,Resolved,4
T00077,C00077,2025-03-29,Technical,High,23.4,Resolved,3
T00078,C00078,2025-04-16,Billing,Low,4.6,Closed,5
T00079,C00079,2025-05-08,Performance,Medium,14.9,Resolved,4
T00080,C00080,2025-06-25,Feature Request,Low,6.1,Closed,5
T00081,C00081,2025-07-13,Storage,High,17.1,Resolved,3
T00082,C00082,2025-01-28,Technical,Urgent,33.6,Escalated,2
T00083,C00083,2025-02-17,Billing,Medium,11.5,Resolved,4
T00084,C00084,2025-03-07,Performance,High,21.9,Resolved,3
T00085,C00085,2025-04-24,Security,High,18.4,Resolved,3
T00086,C00086,2025-05-17,Storage,Low,5.8,Closed,5
T00087,C00087,2025-06-07,Account,Medium,10.2,Resolved,4
T00088,C00088,2025-07-25,Technical,High,20.8,Resolved,3
T00089,C00089,2025-01-19,Billing,Low,4.3,Closed,5
T00090,C00090,2025-02-09,Performance,Medium,15.7,Resolved,4
T00091,C00091,2025-03-22,Feature Request,Low,7.4,Closed,5
T00092,C00092,2025-04-11,Storage,High,16.9,Resolved,3
T00093,C00093,2025-05-31,Account,Low,3.6,Closed,5
T00094,C00094,2025-06-14,Billing,High,19.5,Resolved,3
T00095,C00095,2025-07-08,Technical,Medium,13.6,Resolved,4
T00096,C00096,2025-01-24,Security,Urgent,30.9,Escalated,2
T00097,C00097,2025-02-26,Performance,High,23.7,Resolved,3
T00098,C00098,2025-03-12,Account,Medium,9.1,Resolved,4
T00099,C00099,2025-04-20,Storage,Low,5.0,Closed,5
T00100,C00100,2025-05-25,Billing,High,18.7,Resolved,3
T00101,C00101,2025-06-18,Technical,Medium,12.8,Resolved,4
T00102,C00102,2025-07-02,Performance,High,22.1,Resolved,3
T00103,C00103,2025-01-07,Account,Low,3.9,Closed,5
T00104,C00104,2025-02-13,Feature Request,Low,6.5,Closed,5
T00105,C00105,2025-03-26,Billing,Medium,10.7,Resolved,4
T00106,C00106,2025-04-08,Technical,Urgent,34.1,Escalated,2
T00107,C00107,2025-05-16,Storage,High,17.8,Resolved,3
T00108,C00108,2025-06-27,Performance,Medium,14.2,Resolved,4
T00109,C00109,2025-07-19,Security,High,21.3,Resolved,3
T00110,C00110,2025-01-31,Account,Low,4.5,Closed,5
T00111,C00111,2025-02-22,Technical,High,20.1,Resolved,3
T00112,C00112,2025-03-15,Billing,Medium,9.9,Resolved,4
T00113,C00113,2025-04-27,Performance,High,24.6,Resolved,3
T00114,C00114,2025-05-11,Storage,Low,5.7,Closed,5
T00115,C00115,2025-06-05,Account,Medium,11.1,Resolved,4
T00116,C00116,2025-07-23,Technical,Urgent,32.2,Escalated,2
T00117,C00117,2025-01-14,Billing,High,16.6,Resolved,3
T00118,C00118,2025-02-05,Feature Request,Low,6.9,Closed,5
T00119,C00119,2025-03-20,Performance,Medium,13.4,Resolved,4
T00120,C00120,2025-04-15,Security,High,19.2,Resolved,3
T00121,C00121,2025-05-29,Storage,Medium,10.5,Resolved,4
T00122,C00122,2025-06-12,Account,Low,4.1,Closed,5
T00123,C00123,2025-07-06,Technical,High,22.3,Resolved,3
T00124,C00124,2025-01-26,Billing,Urgent,29.4,Escalated,2
T00125,C00125,2025-02-18,Performance,High,18.8,Resolved,3
T00126,C00126,2025-03-04,Feature Request,Low,7.2,Closed,5
T00127,C00127,2025-04-23,Storage,Medium,12.3,Resolved,4
T00128,C00128,2025-05-07,Account,High,17.5,Resolved,3
T00129,C00129,2025-06-21,Technical,Medium,11.9,Resolved,4
T00130,C00130,2025-07-15,Billing,Low,4.8,Closed,5
T00131,C00131,2025-01-10,Performance,High,23.2,Resolved,3
T00132,C00132,2025-02-25,Security,Urgent,36.4,Escalated,2
T00133,C00133,2025-03-11,Storage,Low,5.5,Closed,5
T00134,C00134,2025-04-30,Account,Medium,9.4,Resolved,4
T00135,C00135,2025-05-21,Technical,High,21.1,Resolved,3
T00136,C00136,2025-06-09,Billing,Medium,10.1,Resolved,4
T00137,C00137,2025-07-27,Performance,High,25.3,Resolved,3
T00138,C00138,2025-01-17,Feature Request,Low,6.0,Closed,5
T00139,C00139,2025-02-12,Storage,High,16.2,Resolved,3
T00140,C00140,2025-03-30,Technical,Urgent,30.7,Escalated,2
  T00141,C00141,2025-04-12,Billing,High,18.3,Resolved,3
T00142,C00142,2025-05-04,Technical,Medium,12.6,Resolved,4
T00143,C00143,2025-06-16,Performance,High,23.8,Resolved,3
T00144,C00144,2025-07-09,Account,Low,4.4,Closed,5
T00145,C00145,2025-01-22,Storage,Medium,11.8,Resolved,4
T00146,C00146,2025-02-16,Security,Urgent,33.1,Escalated,2
T00147,C00147,2025-03-25,Technical,High,19.6,Resolved,3
T00148,C00148,2025-04-06,Feature Request,Low,6.4,Closed,5
T00149,C00149,2025-05-18,Billing,Medium,10.6,Resolved,4
T00150,C00150,2025-06-28,Performance,High,21.8,Resolved,3
T00151,C00151,2025-07-17,Account,Low,3.8,Closed,5
T00152,C00152,2025-01-27,Technical,Medium,13.7,Resolved,4
T00153,C00153,2025-02-21,Storage,High,17.4,Resolved,3
T00154,C00154,2025-03-13,Billing,Low,4.9,Closed,5
T00155,C00155,2025-04-26,Performance,Urgent,31.6,Escalated,2
T00156,C00156,2025-05-13,Security,High,20.7,Resolved,3
T00157,C00157,2025-06-06,Account,Medium,9.7,Resolved,4
T00158,C00158,2025-07-22,Technical,High,22.6,Resolved,3
T00159,C00159,2025-01-15,Feature Request,Low,5.8,Closed,5
T00160,C00160,2025-02-28,Billing,Medium,11.4,Resolved,4
T00161,C00161,2025-03-08,Performance,High,24.2,Resolved,3
T00162,C00162,2025-04-19,Storage,Low,5.2,Closed,5
T00163,C00163,2025-05-27,Account,High,18.6,Resolved,3
T00164,C00164,2025-06-15,Technical,Urgent,34.5,Escalated,2
T00165,C00165,2025-07-05,Billing,Medium,9.5,Resolved,4
T00166,C00166,2025-01-23,Performance,High,20.9,Resolved,3
T00167,C00167,2025-02-11,Security,Medium,13.2,Resolved,4
T00168,C00168,2025-03-19,Storage,Low,6.1,Closed,5
T00169,C00169,2025-04-28,Technical,High,21.5,Resolved,3
T00170,C00170,2025-05-09,Account,Low,4.0,Closed,5
T00171,C00171,2025-06-23,Billing,High,17.7,Resolved,3
T00172,C00172,2025-07-12,Performance,Medium,14.5,Resolved,4
T00173,C00173,2025-01-18,Feature Request,Low,6.6,Closed,5
T00174,C00174,2025-02-07,Storage,High,16.7,Resolved,3
T00175,C00175,2025-03-28,Account,Medium,10.3,Resolved,4
T00176,C00176,2025-04-14,Technical,Urgent,30.2,Escalated,2
T00177,C00177,2025-05-24,Billing,High,19.4,Resolved,3
T00178,C00178,2025-06-10,Performance,Medium,12.5,Resolved,4
T00179,C00179,2025-07-26,Security,High,18.8,Resolved,3
T00180,C00180,2025-01-29,Storage,Low,5.7,Closed,5
T00181,C00181,2025-02-23,Account,High,17.2,Resolved,3
T00182,C00182,2025-03-17,Technical,Medium,13.9,Resolved,4
T00183,C00183,2025-04-21,Billing,Low,4.6,Closed,5
T00184,C00184,2025-05-15,Performance,High,22.4,Resolved,3
T00185,C00185,2025-06-30,Feature Request,Low,7.0,Closed,5
T00186,C00186,2025-07-20,Storage,Medium,11.3,Resolved,4
T00187,C00187,2025-01-11,Technical,High,20.6,Resolved,3
T00188,C00188,2025-02-19,Billing,Urgent,32.8,Escalated,2
T00189,C00189,2025-03-06,Account,Low,4.2,Closed,5
T00190,C00190,2025-04-09,Performance,Medium,15.1,Resolved,4
T00191,C00191,2025-05-20,Security,High,19.7,Resolved,3
T00192,C00192,2025-06-26,Storage,Low,5.4,Closed,5
T00193,C00193,2025-07-14,Technical,Medium,12.2,Resolved,4
T00194,C00194,2025-01-20,Billing,High,18.1,Resolved,3
T00195,C00195,2025-02-04,Performance,Urgent,29.7,Escalated,2
T00196,C00196,2025-03-23,Account,Medium,9.8,Resolved,4
T00197,C00197,2025-04-17,Feature Request,Low,6.3,Closed,5
T00198,C00198,2025-05-05,Storage,High,16.5,Resolved,3
T00199,C00199,2025-06-19,Technical,Medium,14.1,Resolved,4
T00200,C00200,2025-07-24,Billing,High,20.3,Resolved,3
T00201,C00201,2025-01-13,Performance,Low,5.9,Closed,5
T00202,C00202,2025-02-27,Security,High,21.2,Resolved,3
T00203,C00203,2025-03-10,Account,Medium,10.9,Resolved,4
